recording_id,source_xml_path,configured_mea_name,configured_pitch_um_inferred_from_model,hardware_id_14_label,staged_match_status,staged_n_chan_bin,staged_pitch_um,geometry_mismatch,evidence_scope
Actuators & Effectors/Stim 1/371.1/2021-06-23T08-26-58McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/371.1/2021-06-23T08-26-58McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/371.2/2021-06-23T08-52-53McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/371.2/2021-06-23T08-52-53McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/371.3/2021-06-23T09-09-11McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/371.3/2021-06-23T09-09-11McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.1/2021-06-24T09-45-56McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.1/2021-06-24T09-45-56McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.1/2021-07-05T12-25-39McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.1/2021-07-05T12-25-39McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.1/2021-07-05T12-26-26McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.1/2021-07-05T12-26-26McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.1/2021-07-05T12-36-38McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.1/2021-07-05T12-36-38McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.2/2021-06-24T09-49-56McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.2/2021-06-24T09-49-56McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.2/2021-07-05T12-44-45McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.2/2021-07-05T12-44-45McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.2/2021-07-05T12-55-02McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.2/2021-07-05T12-55-02McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.3/2021-07-05T13-03-12McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.3/2021-07-05T13-03-12McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/352.3/2021-07-05T13-13-23McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/352.3/2021-07-05T13-13-23McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.1/2021-07-05T10-17-41McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.1/2021-07-05T10-17-41McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.1/2021-07-05T10-29-33McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.1/2021-07-05T10-29-33McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.1/2021-07-05T10-31-31McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.1/2021-07-05T10-31-31McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.1/2021-07-05T11-54-41McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.1/2021-07-05T11-54-41McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.1/2021-07-05T11-58-49McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.1/2021-07-05T11-58-49McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.2/2021-07-05T11-02-19McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.2/2021-07-05T11-02-19McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 2/353.2/2021-07-05T11-12-31McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 2/353.2/2021-07-05T11-12-31McsRecordingMEA2100-Lite0.xml,60MEA100/10,100,15,prepared,60,200.0,true,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
