channel_in_well,electrode_row,electrode_col,x_um,y_um,kcoords,connected
11,1,1,0,0,0,true
21,1,2,350,0,0,true
31,1,3,700,0,0,true
41,1,4,1050,0,0,true
12,2,1,0,350,0,true
22,2,2,350,350,0,true
32,2,3,700,350,0,true
42,2,4,1050,350,0,true
13,3,1,0,700,0,true
23,3,2,350,700,0,true
33,3,3,700,700,0,true
43,3,4,1050,700,0,true
14,4,1,0,1050,0,true
24,4,2,350,1050,0,true
34,4,3,700,1050,0,true
44,4,4,1050,1050,0,true
